NF Número;Série;Mod;Data;CFOP;;Cliente;;Total Nota;ICMS
183431;1;65;03/05/2025;5102;;CLIENTES DIVERSOS;;153,31;0
183432;1;65;03/05/2025;5102;;CLIENTES DIVERSOS;;146,15;0
183433;1;65;03/05/2025;5102;;CLIENTES DIVERSOS;;157,68;0
183434;1;65;03/05/2025;5102;;CLIENTES DIVERSOS;;45,97;0
183435;1;65;03/05/2025;5102;;CLIENTES DIVERSOS;;40,54;0
183436;1;65;03/05/2025;5102;;CLIENTES DIVERSOS;;86,82;0
183437;1;65;03/05/2025;5102;;CLIENTES DIVERSOS;;35,83;0
183438;1;65;03/05/2025;5102;;CLIENTES DIVERSOS;;57,65;0
183439;1;65;03/05/2025;5102;;CLIENTES DIVERSOS;;14,54;0
183440;1;65;04/05/2025;5102;;CLIENTES DIVERSOS;;11,36;0
183441;1;65;04/05/2025;5102;;CLIENTES DIVERSOS;;198,53;0
183442;1;65;04/05/2025;5102;;CLIENTES DIVERSOS;;98,48;0
183443;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;14;0
183444;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;27,2;0
183445;1;65;05/05/2025;5102;;PISCINA AZUL COMERCIO DE PISCINAS EIRELE;;59,69;0
183446;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;216,13;0
183447;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;78,26;0
183448;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;49,47;0
183449;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;54,68;0
183450;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;84,15;0
183451;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;66,86;0
183452;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;30,71;0
183453;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;31,62;0
183454;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;56,88;0
183455;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;47,85;0
183456;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;107,48;0
183457;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;100,12;0
183458;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;16,17;0
183459;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;22,38;0
183460;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;76,09;0
183461;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;1,5;0
183462;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;1,5;0
183463;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;0,6;0
183464;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;161,28;0
183465;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;31,97;0
183466;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;87,48;0
183467;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;74,05;0
183468;1;65;05/05/2025;5102;;CLIENTES DIVERSOS;;25,27;0
183469;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;7,59;0
183470;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;12,89;0
183471;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;32,82;0
183472;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;24,74;0
183473;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;20,89;0
183474;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;25,25;0
183475;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;118,72;0
183476;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;26,07;0
183477;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;28,07;0
183478;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;11,24;0
183479;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;12,69;0
183480;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;49,23;0
183481;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;117,05;0
183482;1;65;06/05/2025;5102;;CLIENTES DIVERSOS;;33,68;0
